Demand,Avail_Sol,Avail_Wind_On,Avail_Wind_Off,Hyd_In,HydRoR_In
14249.4126,0.111570478,0.10037537,0.027820046,0,1323.621539
14240.53945,0.072541787,0.097132321,0.023004173,0,1323.621539
14253.30934,0.029781992,0.093602809,0.023923719,0,1323.621539
14300.12729,0.000972535,0.089062587,0.029047587,0,1323.621539
14429.11916,0,0.08019781,0.034502321,0,1323.621539
14459.82607,0,0.076901059,0.03872981,0,1323.621539
14439.38583,0,0.070722546,0.044032632,0,1323.621539
14393.06042,0,0.063682536,0.045162312,0,1323.621539
14310.08613,0,0.0566803,0.038650146,0,1323.621539
14076.02643,0,0.051575582,0.035043184,0,1323.621539
13581.43021,0,0.047015601,0.032690251,0,1323.621539
12832.13583,0,0.044331672,0.043255264,0,1323.621539
12701.54773,0,0.039972552,0.052322875,0,1323.621539
12593.03439,0,0.037008228,0.060512582,0,1323.621539
12594.78004,0,0.036818891,0.066970991,0,1323.621539
12625.8909,0,0.037880409,0.072606004,0,1323.621539
13052.1913,0,0.037963122,0.073375944,0,1323.621539
13907.94102,0,0.040251206,0.07808349,0,1323.621539
14481.93914,0,0.043510349,0.085717108,0,1323.621539
14316.48609,0,0.045383141,0.097117473,0,1323.621539
14258.62813,0,0.048225933,0.109677367,0,1323.621539
14276.8835,0.000617323,0.048768201,0.120409554,0,1323.621539
14304.49104,0.01064739,0.047929702,0.131922132,0,1323.621539
14293.75736,0.027087955,0.066187049,0.199104713,0,1323.621539
14280.90037,0.034988153,0.058893305,0.190886353,0,1323.621539
14261.1689,0.024039719,0.058227871,0.183573158,0,1323.621539
14255.95823,0.012640299,0.059540435,0.184470745,0,1323.621539
14311.61179,0.000621484,0.063977424,0.190961317,0,1323.621539
14437.98931,0,0.072562661,0.202400105,0,1323.621539
14465.1839,0,0.083439843,0.223854774,0,1323.621539
14436.46065,0,0.096693445,0.263769551,0,1323.621539
14375.50632,0,0.107186457,0.303483622,0,1323.621539
14284.91574,0,0.118700993,0.337901688,0,1323.621539
14038.73184,0,0.126717713,0.361471773,0,1323.621539
13548.69609,0,0.13647673,0.379258063,0,1323.621539
12789.76272,0,0.161881072,0.375508277,0,1323.621539
12654.11711,0,0.175879051,0.388550089,0,1323.621539
12535.0105,0,0.188675691,0.408389749,0,1323.621539
12520.50622,0,0.194437575,0.4167928,0,1323.621539
12543.50825,0,0.200195018,0.429800878,0,1323.621539
12978.89654,0,0.204790102,0.44876771,0,1323.621539
13869.8851,0,0.2088116,0.460447181,0,1323.621539
14433.23964,0,0.20857917,0.458301373,0,1323.621539
14286.18612,0,0.219312039,0.456007002,0,1323.621539
14253.43848,0,0.231883917,0.460471453,0,1323.621539
14279.04435,0.000995562,0.250039536,0.467426556,0,1323.621539
14304.49104,0.023075192,0.257373396,0.480531576,0,1323.621539
14285.46534,0.043380408,0.249588978,0.485301397,0,1323.621539
14260.79048,0.054439253,0.265850163,0.499753298,0,1323.621539
14251.64253,0.03790841,0.269973251,0.49921236,0,1323.621539
14266.779,0.016715794,0.284711948,0.49816214,0,1323.621539
14350.48008,0.000995163,0.293334731,0.493971685,0,1323.621539
14464.87907,0,0.296707775,0.478769692,0,1323.621539
14505.82863,0,0.297168145,0.470923942,0,1323.621539
14478.95389,0,0.292463349,0.460313605,0,1323.621539
14410.26314,0,0.281249992,0.451641138,0,1323.621539
14316.11068,0,0.274203484,0.450708776,0,1323.621539
