 215   1.54491092e+05  1.56171737e+05  1.04e-03 4.23e-05  2.38e-04  9136s
 216   1.54490818e+05  1.56167573e+05  1.03e-03 4.22e-05  2.35e-04  9180s
 217   1.54490577e+05  1.56165387e+05  1.02e-03 4.22e-05  2.34e-04  9218s
 218   1.54490353e+05  1.56163370e+05  1.01e-03 4.21e-05  2.32e-04  9262s
 219   1.54490010e+05  1.56161268e+05  1.00e-03 4.21e-05  2.30e-04  9308s
 220   1.54489128e+05  1.56158280e+05  9.71e-04 4.20e-05  2.24e-04  9352s
 221   1.54488677e+05  1.56156324e+05  9.55e-04 4.19e-05  2.20e-04  9395s
 222   1.54488346e+05  1.56152817e+05  9.44e-04 4.19e-05  2.18e-04  9441s
 223   1.54487856e+05  1.56151839e+05  9.28e-04 4.18e-05  2.15e-04  9478s
 224   1.54487272e+05  1.56149071e+05  9.10e-04 4.18e-05  2.10e-04  9525s
 225   1.54487066e+05  1.56147269e+05  9.03e-04 4.17e-05  2.09e-04  9575s
 226   1.54486726e+05  1.56143823e+05  8.92e-04 4.16e-05  2.06e-04  9622s
 227   1.54486213e+05  1.56142796e+05  8.78e-04 4.16e-05  2.03e-04  9670s
 228   1.54485973e+05  1.56138460e+05  8.71e-04 4.15e-05  2.00e-04  9705s
 229   1.54485699e+05  1.56136801e+05  8.61e-04 4.14e-05  1.98e-04  9751s
 230   1.54485353e+05  1.56133598e+05  8.49e-04 4.14e-05  1.95e-04  9787s
 231   1.54484950e+05  1.56129948e+05  8.37e-04 4.13e-05  1.93e-04  9826s
 232   1.54484746e+05  1.56128756e+05  8.29e-04 4.12e-05  1.91e-04  9868s
 233   1.54484780e+05  1.56128232e+05  8.28e-04 4.12e-05  1.91e-04  9937s
 234   1.54484411e+05  1.56123210e+05  8.13e-04 4.11e-05  1.88e-04  10022s
 235   1.54484293e+05  1.56120228e+05  8.08e-04 4.10e-05  1.87e-04  10080s
 236   1.54484192e+05  1.56115822e+05  8.05e-04 4.09e-05  1.85e-04  10120s
 237   1.54483852e+05  1.56114394e+05  7.95e-04 4.09e-05  1.84e-04  10170s
 238   1.54483186e+05  1.56111321e+05  7.74e-04 4.08e-05  1.79e-04  10245s
 239   1.54482784e+05  1.56105912e+05  7.62e-04 4.07e-05  1.76e-04  10299s
 240   1.54482601e+05  1.56100958e+05  7.54e-04 4.05e-05  1.74e-04  10351s
 241   1.54482305e+05  1.56096990e+05  7.45e-04 4.04e-05  1.72e-04  10387s
 242   1.54481988e+05  1.56092821e+05  7.36e-04 4.03e-05  1.70e-04  10423s
 243   1.54481657e+05  1.56091033e+05  7.27e-04 4.03e-05  1.68e-04  10470s
 244   1.54481364e+05  1.56089273e+05  7.19e-04 4.02e-05  1.66e-04  10514s
 245   1.54481171e+05  1.56084767e+05  7.13e-04 4.01e-05  1.64e-04  10555s
 246   1.54480790e+05  1.56083330e+05  7.02e-04 4.01e-05  1.62e-04  10601s
 247   1.54480822e+05  1.56081856e+05  6.98e-04 4.01e-05  1.61e-04  10663s
 248   1.54480507e+05  1.56078862e+05  6.89e-04 4.00e-05  1.60e-04  10710s
 249   1.54480195e+05  1.56078197e+05  6.82e-04 4.00e-05  1.58e-04  10752s
 250   1.54479918e+05  1.56074319e+05  6.75e-04 3.99e-05  1.56e-04  10795s
 251   1.54479509e+05  1.56069657e+05  6.64e-04 3.97e-05  1.53e-04  10840s
 252   1.54479350e+05  1.56067458e+05  6.59e-04 3.97e-05  1.52e-04  10877s
 253   1.54479056e+05  1.56061913e+05  6.51e-04 3.96e-05  1.50e-04  10926s
 254   1.54478959e+05  1.56059924e+05  6.48e-04 3.95e-05  1.49e-04  10964s
 255   1.54478815e+05  1.56056310e+05  6.44e-04 3.94e-05  1.48e-04  11001s
